bacteria,n_lytic_phages,is_zero_lysis,is_low_susceptibility,susceptibility_bucket,host_serotype,host_abc_serotype,host_phylogroup,host_st
B156,0,True,True,zero,Oneg:Hneg,Missing,E. albertii,new
B253,0,True,True,zero,O79:H2,Missing,E. fergusonii,4419
DEC2a,0,True,True,zero,O55:H6,Missing,B2,19
E_albertiiCIP107988T,0,True,True,zero,O131:Hneg,Missing,E. albertii,383
FN-B4,0,True,True,zero,O86:H34,Missing,B2,1907
FN-B7,0,True,True,zero,O142:H6,Missing,B2,15
H1-002-0060-C-T,0,True,True,zero,Oneg:H12,Missing,C,88
H1-007-0015-D-G,0,True,True,zero,O78:H4,Missing,C,23
NILS22,0,True,True,zero,O89:H9,Missing,A,10
NILS24,0,True,True,zero,O65:H16,Missing,B1,58
ROAR205,0,True,True,zero,O8:H9,Missing,B1,58
ROAR220,0,True,True,zero,O4:H56,K4,Clade V,133
ECOR-06,1,False,True,low_1_3,Oneg:H5,Missing,A,77
H1-001-0053-K-C,1,False,True,low_1_3,O33:H4,Missing,G,117
H1-003-0010-G-J,1,False,True,low_1_3,O8:H25,Missing,B1,58
H1-004-0021-W-I,1,False,True,low_1_3,O78:H4,Missing,C,23
H14,1,False,True,low_1_3,O8:H10,Missing,B1,58
IAI14,1,False,True,low_1_3,O111:H12,Missing,A,10
NILS03,1,False,True,low_1_3,O11:H4,Missing,A,216
NILS04,1,False,True,low_1_3,O9:H4,Missing,A,46
NILS17,1,False,True,low_1_3,O21:H52,Missing,A,2739
034-026-c1,2,False,True,low_1_3,O81:H27,HP,B2,452
DEC1a,2,False,True,low_1_3,O55:H6,Missing,B2,19
ECOR-01,2,False,True,low_1_3,O144:H4,Missing,A,10
ECOR-20,2,False,True,low_1_3,O121:H11,Missing,A,48
H1-001-0034-S-M,2,False,True,low_1_3,O24:H4,Missing,G,117
H1-001-0131-C-A,2,False,True,low_1_3,O86:H25,Missing,C,88
H1-006-0003-S-L,2,False,True,low_1_3,O21:H9,Missing,C,783
ROAR344,2,False,True,low_1_3,O134:Hneg,Missing,E. fergusonii,10187
ROAR400,2,False,True,low_1_3,O8:H25,Missing,B1,58
ECOR-17,3,False,True,low_1_3,O29:H12,Missing,A,47
EDL933,3,False,True,low_1_3,O157:H7,Missing,E,11
NIC06,3,False,True,low_1_3,O89:H10,Missing,A,10
NILS20,3,False,True,low_1_3,O81:H27,HP,B2,452
ROAR129,3,False,True,low_1_3,Oneg:H56,Missing,Clade V,7495
ROAR176,3,False,True,low_1_3,O4:H56,K4,Clade V,133
035-004,4,False,False,broad,O81:H27,HP,B2,452
B6A1,4,False,False,broad,O172:H45,Missing,E,1508
ECOR-03,4,False,False,broad,O10:H32,Missing,A,10
ECOR-08,4,False,False,broad,O86:H2,Missing,A,10
ECOR-19,4,False,False,broad,O89:H5,Missing,A,48
E_fergusonii-IVAN,4,False,False,broad,Oneg:Hneg,Missing,E. fergusonii,5636
IAI07,4,False,False,broad,O16:H48,Missing,A,1137
NILS08,4,False,False,broad,O107:H27,Missing,A,10
NILS14,4,False,False,broad,O71:H25,Missing,A,10
