summary_level,field_name,trait_value,total_strains,zero_lysis_count,low_susceptibility_count,low_susceptibility_rate,mean_lytic_phages,median_lytic_phages,tested_for_enrichment,odds_ratio_vs_rest,fisher_p_value,fisher_q_value,kruskal_p_value,low_susceptibility_threshold,min_group_size_for_enrichment_test
field,serotype,__all__,402,12,37,0.09203980099502487,19.8407960199005,17.0,True,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O111:H12,1,0,1,1.0,1.0,1.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O131:Hneg,1,1,1,1.0,0.0,0.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O134:Hneg,1,0,1,1.0,2.0,2.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O142:H6,1,1,1,1.0,0.0,0.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O144:H4,1,0,1,1.0,2.0,2.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O146:Hneg,1,0,1,1.0,1.0,1.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O157:H7,1,0,1,1.0,3.0,3.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O21:H52,1,0,1,1.0,1.0,1.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O21:H9,1,0,1,1.0,2.0,2.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O29:H12,1,0,1,1.0,3.0,3.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O4:H56,2,1,2,1.0,1.5,1.5,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O55:H6,2,1,2,1.0,1.0,1.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O65:H16,1,1,1,1.0,0.0,0.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O79:H2,1,1,1,1.0,0.0,0.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O86:H25,1,0,1,1.0,2.0,2.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O86:H34,1,1,1,1.0,0.0,0.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O89:H10,1,0,1,1.0,3.0,3.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O78:H4,3,1,2,0.6666666666666666,3.0,1.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O8:H25,3,0,2,0.6666666666666666,3.0,2.0,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O11:H4,2,0,1,0.5,3.5,3.5,False,,,,2.9028619600555167e-07,3,4
trait_value,serotype,O121:H11,2,0,1,0.5,6.0,6.0,False,,,,2.9028619600555167e-07,3,4
