gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
WDEYOPXQ_CDS_0001	30	1280	+	LM08_P1	-13886350.0	38319	276.0	0.572	7.843000000000001e-87	38319	315.373413	6.364547775686548e-94	No_custom_HMM	No_custom_HMM	No_custom_HMM	38319	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0002	1293	2768	+	LM08_P1	-319323300.0	145	350.0	0.432	1.146e-108	145	493.33197	1.4846054120871498e-147	No_custom_HMM	No_custom_HMM	No_custom_HMM	145	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0003	3083	2799	-	LM08_P1	-141.0136	1273	51.0	0.301	2.616e-11	1273	62.129478	1.0608078749396568e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	1273	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0004	3184	4227	+	LM08_P1	-569542.9	241	317.0	0.474	7.710000000000001e-99	241	511.262024	1.285930423931238e-152	No_custom_HMM	No_custom_HMM	No_custom_HMM	241	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head morphogenesis	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0005	4227	4688	+	LM08_P1	-314.8474	3945	258.0	0.817	2.771e-82	3945	284.546356	3.4113078775453906e-85	No_custom_HMM	No_custom_HMM	No_custom_HMM	3945	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	Hoc-like head decoration	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0006	5025	4711	-	LM08_P1	-303.6728	10768	61.0	0.536	1.224e-15	10768	65.660728	6.937115049711038e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	10768	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0007	5211	5321	+	LM08_P1	-4.797621	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0008	5416	5802	+	LM08_P1	-252.9579	2536	117.0	0.53	3.5940000000000004e-34	2536	188.12468	1.1480849111805598e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	2536	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0009	5768	5911	+	LM08_P1	-8.507277	5672	86.0	0.859	1.185e-24	5672	106.632866	7.945329650950916e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	5672	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0010	5994	6695	+	LM08_P1	-3179.076	206	103.0	0.325	1.6789999999999998e-27	206	188.874664	2.843241730316805e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	206	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0011	6698	7747	+	LM08_P1	-94039.6	15288	182.0	0.554	2.552e-55	247	404.04245	1.1007881334527114e-120	No_custom_HMM	No_custom_HMM	No_custom_HMM	15288	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0012	7807	8106	+	LM08_P1	-15.93211	4366	51.0	0.357	1.112e-11	4366	145.655945	8.5704881363331e-43	No_custom_HMM	No_custom_HMM	No_custom_HMM	4366	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head fiber protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0013	8119	8472	+	LM08_P1	-16.49131	4069	179.0	0.743	1.3750000000000002e-55	4069	189.335938	3.3527918946759313e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	4069	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	Hoc-like head decoration	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0014	8509	8688	+	LM08_P1	-14.31025	4451	98.0	0.79	9.574999999999999e-29	4451	118.515663	2.0289757306077455e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	4451	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0015	8692	9204	+	LM08_P1	-104.8466	477	100.0	0.354	1.3609999999999999e-27	477	184.542023	4.1862033683611935e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	477	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0016	9207	9821	+	LM08_P1	-53.78422	3614	297.0	0.713	4.886e-95	3614	372.739014	7.905375974771081e-112	No_custom_HMM	No_custom_HMM	No_custom_HMM	3614	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0017	9821	10180	+	LM08_P1	-392.1469	17193	241.0	0.953	1.634e-74	17193	263.738586	3.312839808598236e-78	No_custom_HMM	No_custom_HMM	No_custom_HMM	17193	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0018	10177	10572	+	LM08_P1	-75.15848	17193	201.0	0.747	9.748e-61	17193	221.389709	2.815208647389134e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	17193	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0019	10569	10985	+	LM08_P1	-609.2177	179	83.0	0.357	4.0149999999999997e-22	179	120.62175	8.703592016641516e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	179	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WDEYOPXQ_CDS_0020	10988	12154	+	LM08_P1	-30404.02	290	84.0	0.273	2.07e-20	290	264.058899	5.564796252512907e-78	No_custom_HMM	No_custom_HMM	No_custom_HMM	290	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
