gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
GXWEUEOB_CDS_0001	30	719	+	AN24_P3	-139549.0	2109	321.0	0.699	1.041e-102	2109	353.673798	8.095916129565582e-106	No_custom_HMM	No_custom_HMM	No_custom_HMM	2109	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0002	697	2301	+	AN24_P3	-2169818000000.0	38	160.0	0.254	8.154e-44	38	341.067535	3.549359947360806e-101	No_custom_HMM	No_custom_HMM	No_custom_HMM	38	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0003	2308	3015	+	AN24_P3	-154508.5	2125	205.0	0.473	2.239e-62	2125	292.891693	3.6039132117138454e-87	No_custom_HMM	No_custom_HMM	No_custom_HMM	2125	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0004	3012	5282	+	AN24_P3	-3064263000000.0	12242	146.0	0.401	4.962e-40	12242	174.69754	8.10016618156618e-51	No_custom_HMM	No_custom_HMM	No_custom_HMM	12242	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0005	5264	5356	+	AN24_P3	-1.445238	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0006	5367	7670	+	AN24_P3	-19340300000000.0	22037	83.0	0.47	5.224e-19	22037	78.388176	8.736183918223097e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	22037	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail spike protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0007	7678	7932	+	AN24_P3	-127.4176	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0008	8055	8387	+	AN24_P3	-937.3586	5211	114.0	0.525	8.564e-33	5211	168.779541	8.063399713099029e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	5211	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0009	8372	8632	+	AN24_P3	-29.54646	1356	69.0	0.451	8.251e-18	1356	102.114159	5.294808674780039e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	1356	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GXWEUEOB_CDS_0010	8622	9257	+	AN24_P3	-830258.7	315	117.0	0.382	1.197e-32	315	145.284805	4.95149713912665e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	315	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
