gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
HOUQZLHH_CDS_0001	30	1631	+	NRG_11B1	-22457150000000.0	979	323.0	0.41	2.233e-99	979	776.747559	3.9787157181755646e-233	No_custom_HMM	No_custom_HMM	No_custom_HMM	979	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0002	1648	3114	+	NRG_11B1	-176707300000000.0	113	183.0	0.288	2.346e-51	113	385.824249	1.1524011539390766e-114	No_custom_HMM	No_custom_HMM	No_custom_HMM	113	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0003	3114	3614	+	NRG_11B1	-2655.955	3977	278.0	0.81	5.645e-89	3977	333.152191	5.180577726127521e-100	No_custom_HMM	No_custom_HMM	No_custom_HMM	3977	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0004	3614	3946	+	NRG_11B1	-187.6403	240	53.0	0.32	1.26e-11	240	102.276184	6.217620422876466e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	240	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0005	3958	5304	+	NRG_11B1	-8014945000000.0	53	244.0	0.463	1.2520000000000001e-74	53	396.026337	8.440635921231705e-118	No_custom_HMM	No_custom_HMM	No_custom_HMM	53	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0006	5316	5693	+	NRG_11B1	-1084.35	4146	233.0	0.887	4.738e-74	4146	255.325302	1.6547093740245366e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	4146	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	tail protease	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0007	5727	6836	+	NRG_11B1	-915946700.0	29	96.0	0.223	9.93e-24	29	251.750702	2.995907291544079e-74	No_custom_HMM	No_custom_HMM	No_custom_HMM	29	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0008	6858	7307	+	NRG_11B1	-30327.23	1732	91.0	0.439	2.395e-24	1732	192.28598	1.301708562963091e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	1732	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0009	7307	7789	+	NRG_11B1	-2477.639	222	73.0	0.295	8.527e-18	222	139.892075	2.481687259534683e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	222	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0010	7786	8187	+	NRG_11B1	-11441.91	2874	216.0	0.786	5.495e-68	2874	191.390808	1.4780941273423282e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	2874	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0011	8162	8761	+	NRG_11B1	-10189740.0	4082	346.0	0.838	7.179e-112	4082	420.444519	1.7072133153231675e-126	No_custom_HMM	No_custom_HMM	No_custom_HMM	4082	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0012	8762	10114	+	NRG_11B1	-49771030000.0	205	298.0	0.379	1.9649999999999998e-90	205	414.52475	1.0389370066651656e-123	No_custom_HMM	No_custom_HMM	No_custom_HMM	205	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0013	10130	10576	+	NRG_11B1	-7643.442	280	108.0	0.427	1.583e-30	280	162.430328	1.2382360627739572e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	280	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0014	10650	11048	+	NRG_11B1	-9904.73	3840	127.0	0.532	1.25e-36	1613	164.739288	2.913461580023145e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	3840	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail assembly chaperone	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0015	11051	11290	+	NRG_11B1	-237.1213	4963	156.0	0.929	2.986e-48	4963	185.571182	2.756729692897826e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	4963	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail assembly chaperone	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0016	11290	13518	+	NRG_11B1	-3.277018e+18	4036	1299.0	0.844	0.0	4036	1531.630859	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	4036	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0017	13518	14318	+	NRG_11B1	-749953.4	3721	451.0	0.821	5.812000000000001e-147	3721	526.014526	3.793620587999963e-158	No_custom_HMM	No_custom_HMM	No_custom_HMM	3721	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0018	14318	14659	+	NRG_11B1	-17942.66	8737	36.0	0.36	6.105e-06	349	104.659912	5.974807654669633e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	8737	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0019	14659	15636	+	NRG_11B1	-24484860.0	196	136.0	0.309	3.035e-37	196	280.708923	4.219873550628753e-83	No_custom_HMM	No_custom_HMM	No_custom_HMM	196	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate hub	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0020	15636	16259	+	NRG_11B1	-23447.37	11	81.0	0.274	2.189e-19	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	11	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate spike	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
HOUQZLHH_CDS_0021	16259	16678	+	NRG_11B1	-8411.574	4233	50.0	0.345	9.503e-10	120	95.068275	1.3450909655340651e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	4233	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
