gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
APYMABTE_CDS_0001	3	329	+	412_P2	-120.0897	891	68.0	0.408	2.498e-17	891	89.839088	2.452683776637073e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	891	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0002	331	774	+	412_P2	-206.9838	959	76.0	0.475	8.201000000000001e-20	59	104.782288	1.3466559113078537e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	959	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0003	761	2659	+	412_P2	-381028500000.0	17672	705.0	0.871	2.016e-232	17672	791.736511	2.1631280829607543e-238	No_custom_HMM	No_custom_HMM	No_custom_HMM	17672	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0004	2820	3098	+	412_P2	-1100.033	2725	92.0	0.555	7.499e-26	2725	132.042465	4.51129739083143e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0005	3117	3410	+	412_P2	-160.1966	2725	114.0	0.623	1.478e-33	2725	156.211197	1.866662663279258e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0006	3410	3754	+	412_P2	-70.79877	894	111.0	0.45	5.93e-31	894	156.678757	1.6955537205875385e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	894	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0007	3748	3879	+	412_P2	-3.206947	1312	60.0	0.67	8.692e-16	1312	67.764282	1.450508586236953e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	1312	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0008	3863	4012	+	412_P2	-13.42907	4712	64.0	0.661	2.899e-17	4712	95.590157	3.1797272586747604e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	4712	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0009	4102	4299	+	412_P2	-11.526	8971	111.0	0.81	6.4e-33	8971	132.861191	6.640743870063682e-39	No_custom_HMM	No_custom_HMM	No_custom_HMM	8971	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
APYMABTE_CDS_0010	4431	5870	+	412_P2	-3354643000.0	8649	117.0	0.249	3.3889999999999997e-29	8649	117.313431	1.5648946366402437e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	8649	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
