gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
AHJEBGPF_CDS_0001	30	719	+	NAN33_P5	-54617.75	2109	319.0	0.695	7.161e-102	2109	351.24939	4.459121599383208e-105	No_custom_HMM	No_custom_HMM	No_custom_HMM	2109	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0002	712	2301	+	NAN33_P5	-540144600000.0	38	159.0	0.253	2.799e-43	38	339.257019	1.2522643016329525e-100	No_custom_HMM	No_custom_HMM	No_custom_HMM	38	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0003	2308	3015	+	NAN33_P5	-77892.87	2125	210.0	0.482	3.906e-64	2125	299.04892	4.7355072322031335e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	2125	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0004	3012	5708	+	NAN33_P5	-64448490000000.0	12242	147.0	0.403	2.802e-40	12242	166.134323	3.125485806221847e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	12242	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0005	5778	7781	+	NAN33_P5	-456840700.0	14442	452.0	0.44	8.97e-138	14442	588.60437	4.096181002278777e-176	No_custom_HMM	No_custom_HMM	No_custom_HMM	14442	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0006	7785	8027	+	NAN33_P5	-206.2465	19895	39.0	0.362	3.709e-07	19895	31.783115	2.3152202943954819e-07	No_custom_HMM	No_custom_HMM	No_custom_HMM	19895	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0007	8154	8486	+	NAN33_P5	-604.8216	5211	113.0	0.519	3.1440000000000003e-32	5211	167.186905	2.5178099416284805e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	5211	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0008	8471	8731	+	NAN33_P5	-22.88242	1356	72.0	0.468	6.752e-19	1356	103.799385	1.5970262045463825e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	1356	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0009	8721	9356	+	NAN33_P5	-167553.5	315	119.0	0.389	1.382e-33	315	146.474487	2.1614495023240567e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	315	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0010	9337	9837	+	NAN33_P5	-4328.22	6197	205.0	0.631	1.04e-63	6197	260.752014	1.1934295705253926e-77	No_custom_HMM	No_custom_HMM	No_custom_HMM	6197	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0011	9846	12116	+	NAN33_P5	-5.177482e+17	1216	569.0	0.457	7.932000000000001e-180	1216	918.012634	8.859881138112347e-276	No_custom_HMM	No_custom_HMM	No_custom_HMM	1216	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0012	12130	12474	+	NAN33_P5	-226.6014	2346	118.0	0.536	4.304e-34	2346	139.49263	8.869604531555991e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	2346	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0013	12494	13714	+	NAN33_P5	-162117700.0	2120	352.0	0.438	2.427e-109	2120	488.517365	3.143917671128111e-146	No_custom_HMM	No_custom_HMM	No_custom_HMM	2120	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0014	13731	14933	+	NAN33_P5	-2890972.0	1357	308.0	0.446	3.4090000000000002e-96	1357	501.02887	3.135507136109955e-150	No_custom_HMM	No_custom_HMM	No_custom_HMM	1357	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0015	15007	15642	+	NAN33_P5	-243921.9	2130	209.0	0.486	1.195e-63	2130	265.248749	6.366992676261649e-79	No_custom_HMM	No_custom_HMM	No_custom_HMM	2130	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0016	15719	16555	+	NAN33_P5	-267533.2	2050	244.0	0.341	2.605e-72	2050	374.982147	6.801645074184054e-112	No_custom_HMM	No_custom_HMM	No_custom_HMM	2050	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0017	16557	19211	+	NAN33_P5	-119581600000000.0	2220	541.0	0.369	2.879e-170	2220	1082.978271	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	2220	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0018	19225	19668	+	NAN33_P5	-27.91203	2646	146.0	0.511	2.722e-43	2646	170.840164	6.041808218566109e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	2646	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
AHJEBGPF_CDS_0019	19681	21645	+	NAN33_P5	-173288200000.0	6126	647.0	0.508	1.7879999999999998e-206	6126	1028.814941	2.16887434857023e-309	No_custom_HMM	No_custom_HMM	No_custom_HMM	6126	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
