gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
PZUUZUFI_CDS_0001	30	527	+	AL505_Ev3	-15816.6	735	168.0	0.578	1.696e-50	735	199.8797	4.678031080850917e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	735	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0002	524	2347	+	AL505_Ev3	-649259400000.0	5989	264.0	0.573	2.388e-82	5989	363.983612	1.545588008049903e-108	No_custom_HMM	No_custom_HMM	No_custom_HMM	5989	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0003	2382	4385	+	AL505_Ev3	-145138600000.0	23	383.0	0.352	2.4969999999999998e-118	23	482.166443	3.657926761211469e-144	No_custom_HMM	No_custom_HMM	No_custom_HMM	23	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0004	4459	4953	+	AL505_Ev3	-1865.214	45	119.0	0.473	1.9170000000000002e-31	45	202.288574	2.37232657825048e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	45	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail tube	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0005	5012	6577	+	AL505_Ev3	-1920184000000.0	213	458.0	0.495	2.778e-143	213	691.607422	1.2809272580959278e-207	No_custom_HMM	No_custom_HMM	No_custom_HMM	213	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0006	6578	6817	+	AL505_Ev3	-402.7752	1064	69.0	0.535	9.195e-18	1064	83.356094	2.0138438103033966e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	1064	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	prohead	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0007	6830	7237	+	AL505_Ev3	-404.9885	1049	171.0	0.67	4.899e-52	1049	193.802338	2.3222382324957712e-57	No_custom_HMM	No_custom_HMM	No_custom_HMM	1049	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0008	7249	7944	+	AL505_Ev3	-7199.173	207	228.0	0.525	1.976e-70	207	258.445129	3.0659197152611224e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	207	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0009	7976	8770	+	AL505_Ev3	-25610100.0	237	203.0	0.443	1.642e-59	237	281.527222	2.8220422079161504e-83	No_custom_HMM	No_custom_HMM	No_custom_HMM	237	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0010	8830	10416	+	AL505_Ev3	-419223800.0	138	447.0	0.469	1.176e-141	138	558.3255	2.66002139155378e-167	No_custom_HMM	No_custom_HMM	No_custom_HMM	138	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0011	10662	10757	+	AL505_Ev3	-0.3754455	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0012	10750	10887	+	AL505_Ev3	-9.195849	20809	99.0	1.0	9.737e-29	20809	123.928093	3.655618453477229e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	20809	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0013	10920	11072	+	AL505_Ev3	-151.0039	16600	101.0	0.942	1.795e-29	16600	131.456848	1.5416176788467978e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	16600	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0014	11053	11154	+	AL505_Ev3	-1.413089	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0015	11157	12398	+	AL505_Ev3	-21550110.0	138	243.0	0.365	1.3140000000000001e-71	138	381.463043	1.2237554037582733e-113	No_custom_HMM	No_custom_HMM	No_custom_HMM	138	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0016	12986	12399	-	AL505_Ev3	-39139.21	768	137.0	0.426	4.246e-39	768	205.355011	1.1904639194408285e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	768	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DprA-like DNA recombination-mediator protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0017	13838	13401	-	AL505_Ev3	-3092.238	15652	297.0	0.966	1.469e-95	15652	338.372009	6.876068332231575e-102	No_custom_HMM	No_custom_HMM	No_custom_HMM	15652	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZUUZUFI_CDS_0018	14268	13885	-	AL505_Ev3	-3226.861	1566	114.0	0.625	3.9379999999999995e-33	1566	97.963158	4.855333583745339e-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	1566	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
