gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
QDJQPMIA_CDS_0001	30	524	+	T4LD	-3028.804	735	235.0	0.71	1.72e-73	735	259.679047	1.9160716233751883e-77	No_custom_HMM	No_custom_HMM	No_custom_HMM	735	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0002	508	2340	+	T4LD	-1.695351e+16	5989	296.0	0.629	2.885e-93	5989	453.54953	8.984699850241916e-136	No_custom_HMM	No_custom_HMM	No_custom_HMM	5989	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0003	2372	4351	+	T4LD	-1187928000000000.0	38392	396.0	0.637	2.92e-126	23	477.491821	9.559395327178394e-143	No_custom_HMM	No_custom_HMM	No_custom_HMM	38392	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0004	4468	4959	+	T4LD	-147704.5	45	119.0	0.471	2.01e-31	45	214.545761	4.449137153965565e-63	No_custom_HMM	No_custom_HMM	No_custom_HMM	45	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail tube	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0005	5043	6617	+	T4LD	-946142600000000.0	213	505.0	0.537	2.782e-159	213	776.795288	1.9606171382531426e-233	No_custom_HMM	No_custom_HMM	No_custom_HMM	213	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0006	6617	6859	+	T4LD	-87.59853	1064	78.0	0.627	6.433e-21	1064	105.983109	1.749402041546882e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	1064	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	prohead	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0007	6859	7284	+	T4LD	-1195.134	1049	218.0	0.752	4.6429999999999995e-68	1049	239.630203	1.6717977346845146e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	1049	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0008	7284	7922	+	T4LD	-265246.4	207	226.0	0.6	1.371e-69	207	257.055603	8.085146028942758e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	207	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0009	7953	8762	+	T4LD	-890758.3	237	222.0	0.557	4.069e-66	237	312.729187	9.268444732173687e-93	No_custom_HMM	No_custom_HMM	No_custom_HMM	237	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QDJQPMIA_CDS_0010	8781	10346	+	T4LD	-85980840000.0	138	484.0	0.506	1.918e-154	138	589.938049	6.810015064555033e-177	No_custom_HMM	No_custom_HMM	No_custom_HMM	138	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
