gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
GNKQYFZG_CDS_0001	30	524	+	BCH953_P4	-17576.55	735	233.0	0.706	4.4469999999999995e-73	735	259.244141	2.6069975589193043e-77	No_custom_HMM	No_custom_HMM	No_custom_HMM	735	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0002	508	2340	+	BCH953_P4	-1.029193e+17	5989	296.0	0.629	2.894e-93	5989	451.910919	2.829954260674197e-135	No_custom_HMM	No_custom_HMM	No_custom_HMM	5989	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0003	2372	4351	+	BCH953_P4	-3817375000000000.0	38392	398.0	0.639	8.326999999999999e-127	23	474.665588	6.874698308592973e-142	No_custom_HMM	No_custom_HMM	No_custom_HMM	38392	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0004	4468	4959	+	BCH953_P4	-126917.7	45	119.0	0.471	2.017e-31	45	214.545761	4.449137153965565e-63	No_custom_HMM	No_custom_HMM	No_custom_HMM	45	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail tube	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0005	5043	6617	+	BCH953_P4	-1211689000000000.0	213	503.0	0.536	1.334e-158	213	775.309692	5.528206290597084e-233	No_custom_HMM	No_custom_HMM	No_custom_HMM	213	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0006	6617	6865	+	BCH953_P4	-105.0046	1064	82.0	0.608	1.9589999999999999e-22	1064	107.722054	5.014445473038353e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	1064	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	prohead	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0007	6865	7290	+	BCH953_P4	-883.855	1049	218.0	0.752	4.659e-68	1049	239.630203	1.6717977346845146e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	1049	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0008	7290	7928	+	BCH953_P4	-317925.6	207	226.0	0.6	1.375e-69	207	257.055603	8.085146028942758e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	207	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0009	7959	8768	+	BCH953_P4	-377726.9	237	222.0	0.556	7.615999999999999e-66	237	312.53833	1.0592930244333473e-92	No_custom_HMM	No_custom_HMM	No_custom_HMM	237	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GNKQYFZG_CDS_0010	8787	10352	+	BCH953_P4	-32676430000.0	138	483.0	0.505	6.753e-154	138	588.927856	1.3792920710274025e-176	No_custom_HMM	No_custom_HMM	No_custom_HMM	138	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
