gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
TKEXRRWG_CDS_0001	30	329	+	LI10_P5	-39.81426	891	68.0	0.408	2.458e-17	891	90.269432	1.8021558496180258e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	891	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0002	331	774	+	LI10_P5	-305.6505	959	76.0	0.475	8.071000000000001e-20	59	104.782288	1.3466559113078537e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	959	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0003	761	2659	+	LI10_P5	-141387100000.0	17672	707.0	0.873	5.627e-233	17672	793.163574	7.97338933162997e-239	No_custom_HMM	No_custom_HMM	No_custom_HMM	17672	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0004	2815	3093	+	LI10_P5	-188.4895	2725	103.0	0.577	1.035e-29	2725	139.189484	2.9578732753745525e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0005	3106	3393	+	LI10_P5	-110.6021	2725	114.0	0.625	1.06e-33	2725	159.351028	2.0506324533658066e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0006	3415	3759	+	LI10_P5	-69.0044	894	105.0	0.43	8.757999999999999e-29	894	153.612167	1.448108358673018e-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	894	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0007	3814	4017	+	LI10_P5	-25.23619	4712	64.0	0.661	2.853e-17	4712	94.032013	9.751262216283712e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	4712	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0008	4107	4304	+	LI10_P5	-6.994181	8971	113.0	0.825	9.4e-34	8971	133.777863	3.435853465911355e-39	No_custom_HMM	No_custom_HMM	No_custom_HMM	8971	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0009	4436	6343	+	LI10_P5	-900696100.0	14895	1145.0	0.868	0.0	14895	1328.875244	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	14895	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail spike protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0010	6340	6444	+	LI10_P5	-0.3244086	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0011	6429	8141	+	LI10_P5	-7175242000.0	2234	82.0	0.206	6.985e-19	2234	192.888702	2.261300500868403e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	2234	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail spike protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0012	8151	8300	+	LI10_P5	-7.57137	2423	67.0	0.659	4.686e-18	2423	75.892731	3.665864365541074e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	2423	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0013	8371	8499	+	LI10_P5	-17.37473	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TKEXRRWG_CDS_0014	8747	8848	+	LI10_P5	-0.2575425	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
