gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
RALUHTNU_CDS_0001	30	329	+	NIC06_P3	-42.89852	891	69.0	0.401	1.875e-17	891	91.023232	1.050362233387508e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	891	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0002	329	2227	+	NIC06_P3	-84507250000.0	17672	713.0	0.88	2.7869999999999998e-235	17672	801.828735	1.861183632727459e-241	No_custom_HMM	No_custom_HMM	No_custom_HMM	17672	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0003	2318	2665	+	NIC06_P3	-636.8158	2725	96.0	0.542	1.722e-27	2725	132.219315	3.983604906510492e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0004	2684	2971	+	NIC06_P3	-175.1157	2725	108.0	0.599	2.417e-31	2725	145.749649	2.9304458168390353e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0005	2949	3656	+	NIC06_P3	-657.7845	32357	334.0	0.723	3.144e-107	32357	398.281097	2.380365857923437e-119	No_custom_HMM	No_custom_HMM	No_custom_HMM	32357	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0006	3656	4000	+	NIC06_P3	-237.0123	894	108.0	0.44	7.485e-30	894	156.168823	2.4221777263976293e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	894	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0007	3994	4131	+	NIC06_P3	-3.75369	1312	58.0	0.65	4.408e-15	1312	64.768211	1.2515377752822366e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	1312	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0008	4109	4258	+	NIC06_P3	-13.53183	4712	65.0	0.664	2.17e-17	4712	95.678864	2.983205099719802e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	4712	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0009	4336	4545	+	NIC06_P3	-7.352037	8971	111.0	0.778	6.588e-33	8971	129.538086	7.239020835613934e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	8971	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0010	4670	5923	+	NIC06_P3	-1774804.0	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0011	6012	8006	+	NIC06_P3	-379272800000.0	20500	42.0	0.59	3.549e-07	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	20500	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0012	8154	8309	+	NIC06_P3	-27.73439	3955	75.0	0.706	6.802e-21	3955	88.546341	4.697092505296517e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	3955	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0013	8357	8620	+	NIC06_P3	-181.4448	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0014	8679	8828	+	NIC06_P3	-0.1362814	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0015	8836	9525	+	NIC06_P3	-2.2075	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0016	9529	9678	+	NIC06_P3	-0.1952679	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RALUHTNU_CDS_0017	9678	9782	+	NIC06_P3	-0.1480635	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
