gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
FLJXJBMQ_CDS_0001	30	665	+	BDX09_P1	-14323.55	No_PHROG	No_PHROG	No_PHROG	No_PHROG	51	45.714855	1.3297772712634776e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	51	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0002	670	777	+	BDX09_P1	-0.1247504	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0003	875	774	-	BDX09_P1	-1.212619	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0004	988	866	-	BDX09_P1	-37.48644	7421	34.0	0.473	3.144e-06	7421	32.243488	1.3260207339681618e-07	No_custom_HMM	No_custom_HMM	No_custom_HMM	7421	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0005	1234	1031	-	BDX09_P1	-10.93239	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0006	1382	1221	-	BDX09_P1	-82.64426	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0007	1828	1493	-	BDX09_P1	-309.0203	1229	149.0	0.649	4.627e-45	1229	135.911041	1.1942456398983613e-39	No_custom_HMM	No_custom_HMM	No_custom_HMM	1229	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0008	1992	1825	-	BDX09_P1	-178.3074	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0009	2903	1989	-	BDX09_P1	-3248946.0	724	329.0	0.563	4.948e-104	724	422.862122	1.4399516891619449e-126	No_custom_HMM	No_custom_HMM	No_custom_HMM	724	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	exonuclease recombination-associated	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FLJXJBMQ_CDS_0010	3097	2900	-	BDX09_P1	-41.3136	No_PHROG	No_PHROG	No_PHROG	No_PHROG	26258	35.97118	1.164874149127136e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	26258	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	radical SAM domain-containing protein	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
