bacteria,host_o_antigen_type,host_o_antigen_score,host_lps_core_type,host_receptor_btub_score,host_receptor_fadL_score,host_receptor_fhua_score,host_receptor_lamB_score,host_receptor_lptD_score,host_receptor_nfrA_score,host_receptor_ompA_score,host_receptor_ompC_score,host_receptor_ompF_score,host_receptor_tolC_score,host_receptor_tsx_score,host_receptor_yncD_score,host_capsule_profile_kfia_score,host_capsule_profile_kfib_score,host_capsule_profile_kfic_score,host_capsule_profile_kfid_score,host_capsule_profile_kfoa_score,host_capsule_profile_kfob_score,host_capsule_profile_kfoc_score,host_capsule_profile_kfod_score,host_capsule_profile_kfoe_score,host_capsule_profile_kfof_score,host_capsule_profile_kfog_score,host_capsule_profile_kpsc_score,host_capsule_profile_kpsc_2_score,host_capsule_profile_kpsd_score,host_capsule_profile_kpse_score,host_capsule_profile_kpse_2_score,host_capsule_profile_kpsf_score,host_capsule_profile_kpsm_score,host_capsule_profile_kpsm_2_score,host_capsule_profile_kpss_score,host_capsule_profile_kpst_score,host_capsule_profile_kpst_2_score,host_capsule_profile_kpsu_score,host_capsule_profile_neu_score,host_capsule_profile_neua_score,host_capsule_profile_neub_score,host_capsule_profile_neud_score,host_capsule_profile_neue_score,host_capsule_profile_neus_score,host_capsule_profile_rmla_score,host_capsule_profile_rmlb_score,host_capsule_profile_rmlc_score,host_capsule_profile_rmld_score,host_capsule_profile_wckc_score,host_capsule_profile_wcke_score,host_capsule_profile_wckf_score,host_capsule_profile_wckg_score,host_capsule_profile_wckh_score,host_capsule_profile_wcki_score,host_capsule_profile_cluster_19_score,host_capsule_profile_cluster_20_score,host_capsule_profile_cluster_23_score,host_capsule_profile_cluster_25_score,host_capsule_profile_cluster_26_score,host_capsule_profile_cluster_27_score,host_capsule_profile_cluster_28_score,host_capsule_profile_cluster_29_score,host_capsule_profile_cluster_32_score,host_capsule_profile_cluster_39_score,host_capsule_profile_cluster_40_score,host_capsule_profile_cluster_42_score,host_capsule_profile_cluster_43_score,host_capsule_profile_cluster_44_score,host_capsule_profile_cluster_45_score,host_capsule_profile_cluster_47_score,host_capsule_profile_cluster_48_score,host_capsule_profile_cluster_49_score,host_capsule_profile_cluster_51_score,host_capsule_profile_cluster_52_score,host_capsule_profile_cluster_53_score,host_capsule_profile_cluster_54_score,host_capsule_profile_cluster_55_score,host_capsule_profile_cluster_56_score,host_capsule_profile_cluster_57_score,host_capsule_profile_cluster_58_score,host_capsule_profile_cluster_59_score,host_capsule_profile_cluster_60_score,host_capsule_profile_cluster_61_score,host_capsule_profile_cluster_62_score,host_capsule_profile_cluster_63_score,host_capsule_profile_cluster_64_score,host_capsule_profile_cluster_65_score,host_capsule_profile_cluster_66_score,host_capsule_profile_cluster_67_score,host_capsule_profile_cluster_72_score,host_capsule_profile_cluster_73_score,host_capsule_profile_cluster_74_score,host_capsule_profile_cluster_75_score,host_capsule_profile_cluster_76_score,host_capsule_profile_cluster_77_score,host_capsule_profile_cluster_78_score,host_capsule_profile_cluster_79_score,host_capsule_profile_cluster_80_score,host_capsule_profile_cluster_83_score,host_capsule_profile_cluster_84_score,host_capsule_profile_cluster_85_score,host_capsule_profile_cluster_86_score,host_capsule_profile_cluster_87_score,host_capsule_profile_cluster_88_score,host_capsule_profile_cluster_89_score,host_capsule_profile_cluster_90_score,host_capsule_profile_cluster_91_score,host_capsule_profile_cluster_92_score,host_capsule_profile_cluster_93_score,host_capsule_profile_cluster_94_score,host_capsule_profile_cluster_95_score,host_capsule_profile_cluster_97_score,host_capsule_profile_cluster_98_score,host_capsule_profile_cluster_99_score
001-023,O83,157.003311,R1,1211.561035,998.627197,1228.640503,1034.609619,1821.21106,2224.15332,754.289795,743.856628,797.481567,1043.168213,691.688721,1584.37854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.444492,0.0,0.0,0.0,0.0,46.442146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.62439,75.504166,18.619699,0.0,560.365479,0.0,24.637327,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,42.310207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67255,0.0,47.776352,0.0,0.0,18.577909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948959,0.0,0.0
001-031-c1,O83,158.042816,R1,753.962402,756.708618,1508.208984,1021.287537,1823.706421,2225.948486,781.974365,737.309998,788.870117,1043.168213,680.180847,1590.494141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.760895,55.863255,0.0,0.0,0.0,707.488464,47.296276,39.943893,0.0,0.0,161.815964,0.0,0.0,0.0,0.0,527.62439,73.233627,18.619699,0.0,560.919983,0.0,2003.725342,582.859802,1260.334351,0.0,2929.959961,49.520523,533.338135,0.0,68.035446,259.455841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.326782,0.0,33.649139,102.865654,49.55846,0.0,0.0,76.569244,0.0,209.876465,0.0,0.0,0.0,0.0,0.0,30.705456,0.0,0.0,0.0,0.0,0.0
003-026,O83,159.84346,R1,1209.626953,998.627197,1228.640503,1034.609619,1795.785278,2224.15332,756.636597,743.856628,797.481567,1043.168213,691.688721,1584.37854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.444492,28.154966,0.0,0.0,0.0,46.442146,0.0,0.0,64.895531,0.0,0.0,0.0,0.0,0.0,527.62439,75.504166,18.619699,0.0,560.365479,0.0,24.637327,0.0,0.0,0.0,24.179665,49.520523,0.0,0.0,42.310207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67255,0.0,47.776352,0.0,0.0,71.025642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.475773,0.0,0.0
013-008,O83,158.042816,R1,753.962402,756.708618,1508.208984,1021.287537,1823.706421,2225.948486,781.974365,737.309998,788.870117,1043.168213,680.180847,1590.494141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.760895,55.863255,0.0,0.0,0.0,707.488464,47.233273,39.943893,0.0,0.0,161.815964,0.0,0.0,0.0,0.0,527.62439,73.233627,18.619699,0.0,560.919983,0.0,2003.725342,582.859802,1260.334351,0.0,2929.959961,49.520523,533.338135,0.0,68.035446,259.455841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.649139,102.865654,49.55846,0.0,0.0,76.569244,0.0,209.876465,0.0,0.0,0.0,0.0,0.0,30.705456,0.0,0.0,0.0,0.0,0.0
025-010,O83,158.964157,R1,748.497314,1014.23468,1716.101196,1024.96582,1833.89563,2239.180908,756.369263,747.885498,792.566345,1045.020996,691.688721,1583.691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.476131,0.0,0.0,0.0,0.0,46.698566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.699337,527.483276,75.476715,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,47.737614,0.0,0.0,44.249786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.510994,0.0,49.432117,0.0,0.0,27.508793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.334229,0.0,0.0
034-008,O83,158.042816,R1,753.962402,756.708618,1530.116699,1021.287537,1823.706421,2225.948486,781.974365,737.309998,788.870117,1043.168213,680.180847,1268.558838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.760895,55.863255,0.0,0.0,0.0,0.0,47.296276,21.876818,0.0,105.740768,0.0,0.0,0.0,0.0,0.0,527.62439,73.233627,18.619699,0.0,560.919983,0.0,28.305452,0.0,0.0,0.0,0.0,49.520523,532.669128,0.0,96.523392,257.881134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.404419,0.0,33.649139,0.0,49.55846,0.0,0.0,76.321098,324.539398,0.0,0.0,0.0,0.0,0.0,0.0,29.852503,0.0,0.0,0.0,0.0,0.0
034-026-c1,O83,158.042816,R1,752.18811,756.708618,1533.292847,1021.287537,1823.706421,2225.948486,781.974365,737.309998,788.870117,1040.893799,680.180847,1590.494141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.760895,55.863255,0.0,0.0,0.0,0.0,47.233273,21.853689,0.0,105.740768,0.0,0.0,0.0,0.0,0.0,527.62439,73.233627,18.619699,0.0,560.919983,0.0,28.305452,0.0,0.0,0.0,0.0,49.520523,532.669128,0.0,96.523392,263.175842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.404419,0.0,33.649139,0.0,49.55846,0.0,0.0,76.321098,324.539398,0.0,0.0,0.0,0.0,0.0,0.0,29.818077,0.0,0.0,0.0,0.0,0.0
035-004,O83,158.042816,R1,753.962402,756.708618,1533.292847,1021.287537,1823.706421,2225.948486,781.974365,737.309998,788.870117,1040.893799,680.180847,1590.494141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.760895,55.863255,0.0,0.0,0.0,0.0,47.296276,21.853689,0.0,105.740768,0.0,0.0,0.0,0.0,0.0,527.62439,73.233627,18.619699,0.0,560.919983,0.0,28.305452,0.0,0.0,0.0,0.0,49.520523,532.669128,0.0,96.523392,263.175842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.404419,0.0,33.649139,0.0,49.55846,0.0,0.0,76.321098,324.539398,0.0,0.0,0.0,0.0,0.0,0.0,29.818077,0.0,0.0,0.0,0.0,0.0
370D,O7,268.368469,R1,1403.336914,1007.472412,1706.724609,1022.742371,1836.475586,2230.494873,761.882568,743.909973,797.481567,1037.996582,691.688721,1581.280273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.568031,51.823181,0.0,0.0,0.0,0.0,96.048065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.460993,528.115967,80.013168,0.0,0.0,562.368469,0.0,24.712025,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,39.320259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.501709,0.0,33.206696,0.0,47.410858,0.0,0.0,20.391338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.461674,0.0,0.0
381A,O83,158.042816,R1,753.962402,756.708618,1508.208984,1021.287537,1823.706421,2225.948486,781.974365,737.309998,788.870117,1043.168213,680.180847,1590.494141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.760895,55.863255,0.0,0.0,0.0,0.0,47.296276,21.853689,0.0,105.740768,0.0,0.0,0.0,0.0,0.0,527.62439,73.233627,18.619699,59.30724,560.919983,0.0,28.305452,0.0,0.0,0.0,0.0,49.520523,530.021362,0.0,96.523392,263.175842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.085884,33.649139,0.0,49.55846,171.280594,0.0,76.321098,324.539398,0.0,0.0,0.0,0.0,0.0,0.0,29.818077,0.0,0.0,0.0,0.0,0.0
