gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
JUCOSEDE_CDS_0001	30	326	+	DIJ07_P2	-2891.002	3330	91.0	0.459	1.926e-24	3330	119.933052	9.966989444527565e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	3330	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0002	348	482	+	DIJ07_P2	-0.09579799	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0003	467	637	+	DIJ07_P2	-235.4181	15229	101.0	0.838	2.27e-29	15229	126.49189	1.0633413232899807e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	15229	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0004	615	704	+	DIJ07_P2	-16.42719	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0005	728	895	+	DIJ07_P2	-0.1604568	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0006	971	1315	+	DIJ07_P2	-2605.658	1267	56.0	0.329	4.285e-13	1267	75.800148	8.706119735933969e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	1267	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0007	1325	3400	+	DIJ07_P2	-1.183811e+18	979	288.0	0.351	3.202e-87	979	721.988647	1.4936706655374763e-216	No_custom_HMM	No_custom_HMM	No_custom_HMM	979	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0008	3502	5067	+	DIJ07_P2	-602931100000.0	30239	190.0	0.373	5.586e-55	113	287.66568	4.9232042825161375e-85	No_custom_HMM	No_custom_HMM	No_custom_HMM	30239	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0009	5161	5640	+	DIJ07_P2	-3290.395	1530	108.0	0.441	5.568e-30	1530	169.497147	2.632717947025078e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	1530	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	DNA methyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0010	5643	6758	+	DIJ07_P2	-9336438000.0	2970	439.0	0.608	1.9389999999999998e-140	2970	324.009033	3.2285499386972393e-96	No_custom_HMM	No_custom_HMM	No_custom_HMM	2970	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0011	6778	7176	+	DIJ07_P2	-851.6249	2680	120.0	0.5	2.229e-34	2680	148.694901	1.9112963466838802e-43	No_custom_HMM	No_custom_HMM	No_custom_HMM	2680	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head decoration	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0012	7198	8199	+	DIJ07_P2	-901097.3	No_PHROG	No_PHROG	No_PHROG	No_PHROG	29	185.16983	4.7887416147431615e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	29	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0013	8284	8628	+	DIJ07_P2	-10018.55	15130	225.0	0.931	8.26e-71	15130	243.670944	6.292888946443025e-73	No_custom_HMM	No_custom_HMM	No_custom_HMM	15130	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0014	8638	9186	+	DIJ07_P2	-48348.74	2663	153.0	0.479	3.776e-45	2663	198.319809	1.4852318699764818e-58	No_custom_HMM	No_custom_HMM	No_custom_HMM	2663	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0015	9186	9674	+	DIJ07_P2	-9682.187	222	119.0	0.412	1.731e-33	222	120.915947	1.513583634763719e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	222	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JUCOSEDE_CDS_0016	9721	10137	+	DIJ07_P2	-776.1595	4185	189.0	0.682	3.478e-58	4185	166.590591	6.197451942641804e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	4185	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
