gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
JDJWZCMI_CDS_0001	3	329	+	AL505_Sd2	-155.9749	891	68.0	0.408	2.491e-17	891	89.751244	2.6119437878243824e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	891	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0002	329	2227	+	AL505_Sd2	-1770788000000.0	17672	711.0	0.878	1.785e-234	17672	799.521362	9.345520065438878e-241	No_custom_HMM	No_custom_HMM	No_custom_HMM	17672	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0003	2322	2414	+	AL505_Sd2	-0.2586092	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0004	2384	2662	+	AL505_Sd2	-620.5787	2725	94.0	0.533	8.135e-27	2725	131.198792	8.166442082010499e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0005	2680	2967	+	AL505_Sd2	-306.4469	2725	113.0	0.625	2.7769999999999997e-33	2725	150.512619	1.0277981680640188e-43	No_custom_HMM	No_custom_HMM	No_custom_HMM	2725	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	acetyl-CoA acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0006	2970	3314	+	AL505_Sd2	-83.11854	894	109.0	0.444	2.833e-30	894	157.954605	6.9465185834239095e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	894	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0007	3308	3439	+	AL505_Sd2	-7.217424	1312	60.0	0.666	1.192e-15	1312	67.219589	2.146216398005802e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	1312	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0008	3423	3572	+	AL505_Sd2	-8.184064	4712	65.0	0.664	2.102e-17	4712	95.774406	2.7851027183752624e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	4712	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0009	3662	3859	+	AL505_Sd2	-6.155422	8971	112.0	0.82	1.796e-33	8971	132.070541	1.1723439342566845e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	8971	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0010	3991	5430	+	AL505_Sd2	-4216632000.0	8649	119.0	0.252	6.34e-30	8649	121.30603	9.702877705714427e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	8649	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0011	5515	7950	+	AL505_Sd2	-337514300000000.0	1171	228.0	0.231	1.161e-63	1171	890.995483	2.5759766051712197e-267	No_custom_HMM	No_custom_HMM	No_custom_HMM	1171	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail spike protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0012	7928	8077	+	AL505_Sd2	-11.45259	2423	70.0	0.686	3.718e-19	2423	80.468506	1.3650124139130276e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	2423	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0013	8151	8258	+	AL505_Sd2	-20.99542	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0014	8284	8499	+	AL505_Sd2	-0.3298374	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0015	8545	8670	+	AL505_Sd2	-0.341052	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0016	8937	8848	-	AL505_Sd2	-0.1893836	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0017	9178	9336	+	AL505_Sd2	-6.198627	2061	61.0	0.607	8.094e-16	2061	66.557053	3.612173481241987e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	2061	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0018	9323	9502	+	AL505_Sd2	-13.1682	9275	113.0	0.915	3.976e-34	9275	135.251434	9.173003551760964e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	9275	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0019	9502	9726	+	AL505_Sd2	-288.7793	6403	100.0	0.665	3.112e-29	6403	102.013329	2.894433293813781e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	6403	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0020	9936	9802	-	AL505_Sd2	-0.1453647	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0021	10011	10175	+	AL505_Sd2	-18.9919	16783	92.0	0.949	5.5909999999999996e-27	16783	139.133606	6.268389337041914e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	16783	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0022	10325	10654	+	AL505_Sd2	-1342.518	2568	108.0	0.535	4.15e-30	2568	174.799011	2.7505317222188784e-51	No_custom_HMM	No_custom_HMM	No_custom_HMM	2568	ab initio prediction:PHANOTATE:1.6.7	CDS	#ff59f5	ocr-like anti-restriction	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0023	10659	10772	+	AL505_Sd2	-7.979513	11746	76.0	0.942	2.279e-21	11746	103.887688	5.742805795254949e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	11746	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0024	10849	10974	+	AL505_Sd2	-11.3283	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0025	11038	11922	+	AL505_Sd2	-993323.7	4571	326.0	0.574	2.74e-102	4571	437.394562	6.544980745910706e-131	No_custom_HMM	No_custom_HMM	No_custom_HMM	4571	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0026	11986	14613	+	AL505_Sd2	-8808814000000000.0	414	455.0	0.381	7.716000000000001e-142	414	963.681091	1.626751648386151e-289	No_custom_HMM	No_custom_HMM	No_custom_HMM	414	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0027	14694	14593	-	AL505_Sd2	-1.440422	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0028	15019	14924	-	AL505_Sd2	-0.07112122	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0029	15081	17069	+	AL505_Sd2	-214835000000000.0	239	229.0	0.304	3.1229999999999996e-66	239	625.657715	4.0708458932363874e-187	No_custom_HMM	No_custom_HMM	No_custom_HMM	239	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA primase/helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0030	17069	17230	+	AL505_Sd2	-25.86668	15806	101.0	0.894	5.732e-30	15806	130.17952	4.314295562195885e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	15806	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0031	17303	17986	+	AL505_Sd2	-711495.4	6703	372.0	0.796	1.75e-120	6703	399.485626	9.92120148899072e-120	No_custom_HMM	No_custom_HMM	No_custom_HMM	6703	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0032	17997	18212	+	AL505_Sd2	-33.17856	9214	128.0	0.876	6.514e-39	9214	144.591919	1.6281106021949318e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	9214	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0033	18212	18466	+	AL505_Sd2	-74.24133	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0034	18459	18632	+	AL505_Sd2	-38.03841	5754	90.0	0.776	1.28e-25	5754	114.609138	2.3612272861532874e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	5754	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0035	18690	18797	+	AL505_Sd2	-23.82782	15473	68.0	0.898	8.625e-19	15473	71.576881	8.316341710896709e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	15473	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0036	18784	19002	+	AL505_Sd2	-34.05749	12821	89.0	0.615	2.037e-25	12821	104.240723	7.511655981347297e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	12821	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0037	18989	21535	+	AL505_Sd2	-2293594000000000.0	17	597.0	0.514	7.311e-191	17	410.474823	3.949743008649959e-122	No_custom_HMM	No_custom_HMM	No_custom_HMM	17	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0038	21535	21651	+	AL505_Sd2	-8.297552	15860	78.0	0.942	4.906999999999999e-22	15860	98.665161	2.481449732916247e-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	15860	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0039	21651	21749	+	AL505_Sd2	-5.449745	4539	65.0	0.936	6.784e-18	4539	63.203854	2.9457091420497705e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	4539	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0040	21905	22282	+	AL505_Sd2	-2818.081	7450	196.0	0.763	1.449e-61	7450	234.191559	5.5016582756958556e-70	No_custom_HMM	No_custom_HMM	No_custom_HMM	7450	ab initio prediction:PHANOTATE:1.6.7	CDS	#ff59f5	polysaccharide chain length determinant protein	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0041	22288	22587	+	AL505_Sd2	-144.7441	8057	166.0	0.805	1.558e-51	8057	172.618652	3.5773491066661896e-51	No_custom_HMM	No_custom_HMM	No_custom_HMM	8057	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0042	22665	23471	+	AL505_Sd2	-6559123.0	862	129.0	0.337	3.6530000000000005e-36	862	205.779037	2.2342623033257393e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	862	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0043	23481	23699	+	AL505_Sd2	-11.8732	5791	126.0	0.832	3.176e-38	5791	144.43074	1.3664595172639325e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	5791	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0044	23805	24176	+	AL505_Sd2	-652.5946	4429	155.0	0.631	2.812e-47	4429	196.630951	2.2849099489148503e-58	No_custom_HMM	No_custom_HMM	No_custom_HMM	4429	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0045	24280	24375	+	AL505_Sd2	-0.1184073	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0046	24497	25525	+	AL505_Sd2	-31096450.0	107	142.0	0.299	8.146e-40	107	249.684311	1.571139131521672e-73	No_custom_HMM	No_custom_HMM	No_custom_HMM	107	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0047	25510	25923	+	AL505_Sd2	-525.4048	423	125.0	0.496	3.437e-36	423	164.497742	3.6218687464425046e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	423	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	endonuclease VII	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0048	25889	26923	+	AL505_Sd2	-1095196.0	221	195.0	0.437	1.025e-58	221	354.253021	1.6979578038007923e-105	No_custom_HMM	No_custom_HMM	No_custom_HMM	221	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	metallo-phosphoesterase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0049	26992	27462	+	AL505_Sd2	-8545.63	2585	117.0	0.687	1.1840000000000001e-32	1689	151.828964	5.572610632753669e-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	2585	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	nucleotide kinase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0050	27464	27580	+	AL505_Sd2	-4.574924	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0051	27577	28524	+	AL505_Sd2	-9024685.0	114	115.0	0.265	5.584e-30	114	245.737885	1.9466431141795718e-72	No_custom_HMM	No_custom_HMM	No_custom_HMM	114	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
JDJWZCMI_CDS_0052	28496	28711	+	AL505_Sd2	-52.39473	5860	104.0	0.758	1.1830000000000001e-30	5860	138.149261	1.1177562205649852e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	5860	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
