gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
PJUGFBLY_CDS_0001	30	1631	+	LF82_P4	-7905539000000.0	979	323.0	0.41	2.162e-99	979	776.747559	3.9787157181755646e-233	No_custom_HMM	No_custom_HMM	No_custom_HMM	979	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0002	1648	3114	+	LF82_P4	-111958600000000.0	113	183.0	0.288	2.2709999999999997e-51	113	385.824249	1.1524011539390766e-114	No_custom_HMM	No_custom_HMM	No_custom_HMM	113	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0003	3114	3614	+	LF82_P4	-5158.138	3977	281.0	0.817	6.0019999999999995e-90	3977	335.44574	1.021682820848144e-100	No_custom_HMM	No_custom_HMM	No_custom_HMM	3977	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0004	3614	3946	+	LF82_P4	-146.6039	240	53.0	0.32	1.221e-11	240	102.276184	6.217620422876466e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	240	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0005	3958	5304	+	LF82_P4	-2615865000000.0	53	244.0	0.463	1.212e-74	53	395.662415	1.087896885419088e-117	No_custom_HMM	No_custom_HMM	No_custom_HMM	53	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0006	5316	5693	+	LF82_P4	-1048.394	4146	229.0	0.875	7.876e-73	4146	254.008392	4.2298808350416524e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	4146	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	tail protease	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0007	5727	6833	+	LF82_P4	-542970600.0	29	95.0	0.222	2.337e-23	29	250.957657	5.214043420071213e-74	No_custom_HMM	No_custom_HMM	No_custom_HMM	29	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0008	6855	7304	+	LF82_P4	-40313.16	1732	91.0	0.439	2.319e-24	1732	192.28598	1.301708562963091e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	1732	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0009	7304	7786	+	LF82_P4	-2042.82	222	73.0	0.295	8.258e-18	222	139.892075	2.481687259534683e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	222	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0010	7783	8184	+	LF82_P4	-12438.21	2874	216.0	0.786	5.321e-68	2874	191.390808	1.4780941273423282e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	2874	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0011	8159	8758	+	LF82_P4	-6552566.0	4082	344.0	0.834	3.365e-111	4082	419.112946	4.367399093946793e-126	No_custom_HMM	No_custom_HMM	No_custom_HMM	4082	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0012	8759	10111	+	LF82_P4	-18858850000.0	205	298.0	0.379	1.902e-90	205	414.752197	8.86320835977258e-124	No_custom_HMM	No_custom_HMM	No_custom_HMM	205	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0013	10127	10573	+	LF82_P4	-7563.448	280	108.0	0.427	1.533e-30	280	162.430328	1.2382360627739572e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	280	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0014	10647	11045	+	LF82_P4	-9952.487	3840	127.0	0.532	1.21e-36	1613	164.739288	2.913461580023145e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	3840	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail assembly chaperone	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0015	11048	11287	+	LF82_P4	-259.055	4963	156.0	0.929	2.891e-48	4963	185.571182	2.756729692897826e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	4963	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail assembly chaperone	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0016	11287	13497	+	LF82_P4	-4.045764e+18	4036	1268.0	0.827	0.0	4036	1464.954224	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	4036	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0017	13497	14294	+	LF82_P4	-605527.8	3721	457.0	0.833	4.98e-149	3721	530.288635	1.8847864978665242e-159	No_custom_HMM	No_custom_HMM	No_custom_HMM	3721	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0018	14294	14635	+	LF82_P4	-15458.58	8737	36.0	0.36	5.912e-06	349	104.659912	5.974807654669633e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	8737	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0019	14635	15612	+	LF82_P4	-14804810.0	196	136.0	0.31	5.4189999999999994e-37	196	280.442902	5.080494145368607e-83	No_custom_HMM	No_custom_HMM	No_custom_HMM	196	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate hub	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0020	15612	16235	+	LF82_P4	-25338.65	11	81.0	0.274	2.119e-19	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	11	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate spike	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0021	16235	16654	+	LF82_P4	-9242.14	4233	51.0	0.351	3.769e-10	120	94.545982	1.9400108440975764e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	4233	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0022	16654	18123	+	LF82_P4	-2111517000000.0	6	110.0	0.207	1.22e-27	6	248.507172	2.630078509949613e-73	No_custom_HMM	No_custom_HMM	No_custom_HMM	6	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0023	18126	18983	+	LF82_P4	-71716610.0	4017	507.0	0.856	7.128e-166	4017	582.507141	2.842660117538263e-175	No_custom_HMM	No_custom_HMM	No_custom_HMM	4017	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PJUGFBLY_CDS_0024	18983	19285	+	LF82_P4	-355.481	4141	201.0	0.945	2.447e-63	4141	208.13942	2.7882411991649987e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	4141	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
